"1","200-05-0539","2012-11-25"
"2","07-07-0742","2013-01-24"
"3","2012-11-1361","2013-02-24"
"4","2004-05-0015","2013-02-24"
"5","2004-07-0189","2013-07-24"
"6","2004-07-0189","2013-08-24"
"7","2012-11-1361","2013-08-24"
"8","2004-05-0084","2013-08-24"
"9","2004-06-0156","2013-08-24"
"10","2004-05-0100","2013-05-24"
"11","2004-05-0100","2013-06-24"
"12","2004-05-0100","2013-07-24"
"13","2004-05-0100","2013-08-24"
"14","2005-05-0305","2013-07-24"
"15","2005-05-0305","2013-08-24"
"16","2004-05-0004","2013-05-24"
"17","2004-05-0004","2013-06-24"
"18","2004-05-0004","2013-07-24"
"19","2004-05-0004","2013-08-24"
"20","2005-03-0272","2013-01-24"
"21","2005-03-0272","2013-02-24"
"22","2005-03-0272","2013-03-24"
"23","2005-03-0272","2013-04-24"
"24","2005-03-0272","2013-05-24"
"25","2005-03-0272","2013-06-24"
"26","2005-03-0272","2013-07-24"
"27","2005-03-0272","2013-08-24"
"28","2011-09-1236","2013-06-24"
"29","2011-09-1236","2013-07-24"
"30","2011-09-1236","2013-08-24"
"31","2005-09-0351","2013-06-24"
"32","2005-09-0351","2013-07-24"
"33","2005-09-0351","2013-08-24"
"34","2011-06-1213","2013-08-24"
"35","2004-07-0180","2013-08-24"
"36","2011-03-1167","2013-08-24"
"37","2004-05-0096","2013-06-24"
"38","2004-05-0096","2013-07-24"
"39","2004-05-0096","2013-08-24"
"40","2006-12-0666","2013-06-24"
"41","2006-12-0666","2013-07-24"
"42","2006-12-0666","2013-08-24"
"43","2011-03-1172","2013-07-24"
"44","2011-03-1172","2013-08-24"
"45","2004-05-0024","2013-06-24"
"46","2004-05-0024","2013-07-24"
"47","2004-05-0024","2013-08-24"
"48","2008-11-0882","2013-07-24"
"49","2008-11-0882","2013-08-24"
"50","2009-04-0917","2013-01-24"
"51","2009-04-0917","2013-08-24"
"52","2004-05-0066","2013-06-24"
"53","2004-05-0066","2013-07-24"
"54","2004-05-0066","2013-08-24"
"55","2012-02-1265","2013-07-24"
"56","2012-02-1265","2013-08-24"
"57","2012-05-1289","2013-06-24"
"58","2012-05-1289","2013-07-24"
"59","2012-05-1289","2013-08-24"
"60","2009-05-0920","2013-07-24"
"61","2009-05-0920","2013-08-24"
"62","2010-01-0965","2013-08-24"
"63","2011-02-1158","2013-08-24"
"64","2010-11-1124","2013-07-24"
"65","2010-11-1124","2013-08-24"
"66","2011-07-1224","2013-08-24"
"67","2007-01-0668","2013-08-23"
"68","2004-06-0174","2013-08-24"
"69","2004-07-0193","2013-08-24"
"70","2006-08-0641","2013-05-24"
